source_name,mean_bias,total_story_count,source_bias,topic_story_count,source_lon,source_lat,source_owners,surprising_dist,unsurprising_dist
Daily Record,-0.3571428571428572,138735,-2,14,-4.252017,55.868058,Reach plc,"[1, 1, 2, 0, 1]","[2, 2, 4, 0, 1]"
Daily Sabah,-1.2526315789473683,24993,2,190,34.319921,39.437328,Turkuvaz Media Group,"[11, 8, 0, 0, 4]","[88, 58, 11, 2, 8]"
Daily Telegraph NZ,0.0344827586206895,2454,0,29,,,,"[0, 2, 1, 1, 3]","[1, 12, 4, 0, 5]"
Daily Trust,-0.2142857142857142,31326,-1,28,,,,"[1, 3, 1, 1, 2]","[2, 9, 5, 1, 3]"
Daily US Times,-0.7096774193548387,3780,0,31,,,,"[1, 6, 0, 2, 1]","[2, 15, 3, 1, 0]"
Dawn,-0.6416666666666666,81509,-1,120,70.397764,31.104679,Dawn Media Group,"[4, 11, 1, 0, 7]","[17, 65, 1, 1, 13]"
Day News TV,-0.9375,2555,0,80,,,,"[4, 6, 1, 0, 1]","[28, 27, 2, 2, 9]"
Deadline,-0.2666666666666666,126695,-1,15,-118.243904,34.052311,Penske Media Corporation,"[1, 1, 0, 0, 0]","[0, 6, 4, 1, 2]"
Deccan Herald,0.2142857142857144,36422,-1,14,75.285651,15.595914,,"[0, 0, 0, 0, 2]","[3, 3, 0, 4, 2]"
Defend Jerusalem,2.0,88,0,32,,,,"[0, 0, 0, 0, 2]","[0, 0, 0, 0, 30]"
Delta Daily News,0.08695652173913038,2538,0,46,,,,"[2, 4, 1, 4, 5]","[1, 16, 2, 6, 5]"
Democracy Now!,-1.4428571428571428,7133,-2,70,-74.042693,40.712965,Independent ,"[8, 2, 0, 0, 2]","[46, 5, 2, 0, 5]"
Deutsche Welle,-0.28828828828828823,88738,0,111,7.095381,50.747881,Cabinet of Germany,"[2, 16, 1, 2, 11]","[5, 52, 4, 10, 8]"
Devdiscourse,-0.22466960352422904,83622,0,227,79.765447,19.337038,,"[0, 22, 6, 5, 8]","[4, 106, 39, 10, 27]"
Dr. Rich Swier,1.7708333333333335,1439,0,48,,,,"[0, 0, 0, 0, 3]","[2, 1, 0, 0, 42]"
EADaily,-0.050000000000000044,7894,0,20,,,,"[0, 3, 1, 0, 1]","[1, 7, 2, 1, 4]"
"EMEA Tribune, Breaking News, World News, Latest News, Top Headlines",-0.6153846153846154,7127,0,143,,,,"[6, 2, 6, 0, 3]","[37, 43, 27, 1, 18]"
EURACTIV,-0.56,36817,-1,25,4.34963,50.848943,Mediahuis,"[0, 4, 0, 1, 1]","[1, 15, 1, 0, 2]"
EURO-NEWS,0.43478260869565233,6177,0,23,,,,"[0, 1, 0, 0, 1]","[0, 4, 10, 1, 6]"
Egypt Independent,-0.29756097560975614,40266,0,205,31.240139,30.044364,Al-Masry Media Corporation,"[1, 12, 0, 0, 8]","[20, 101, 18, 12, 33]"
Egyptian Gazette,-0.728813559322034,7485,0,59,,,,"[1, 4, 2, 0, 2]","[8, 27, 14, 0, 1]"
Egyptian Streets,-0.7352941176470589,6257,-1,34,30.811171,26.856367,,"[4, 6, 0, 0, 0]","[4, 12, 3, 1, 4]"
El Pais,-0.6666666666666667,98707,-1,12,-4.607314,41.304201,PRISA,"[0, 0, 0, 0, 2]","[5, 4, 0, 0, 1]"
ElliotLakeToday.com,-0.6024096385542168,11619,0,83,,,,"[1, 20, 2, 1, 5]","[0, 43, 9, 0, 2]"
Elora Fergus Today,-0.5777777777777777,63417,0,90,,,,"[1, 20, 0, 3, 4]","[0, 49, 8, 2, 3]"
Emirates24|7,-0.5294117647058822,12941,1,17,55.485946,25.019524,,"[1, 2, 0, 0, 0]","[2, 3, 7, 2, 0]"
End Time Headlines,1.0,2198,1,25,,,,"[0, 2, 1, 0, 5]","[2, 2, 1, 1, 11]"
Eurasia,-0.3125,531,0,16,,,,"[1, 1, 0, 0, 0]","[3, 6, 0, 0, 5]"
Euronews,-0.47560975609756095,51418,-1,82,0.904904,46.146072,European Broadcasting Union,"[4, 12, 1, 2, 3]","[3, 40, 5, 5, 7]"
Europe Says,-0.15068493150684925,39368,0,73,,,,"[0, 8, 1, 1, 1]","[11, 23, 7, 3, 18]"
European Jewish Congress,0.9411764705882355,663,0,17,,,,"[0, 1, 0, 0, 0]","[0, 3, 3, 0, 10]"
Evening Standard,-0.32307692307692304,179497,1,65,-0.137318,51.487674,"Evgeny Lebedev, Alfred Harmsworth (barrister), Geraldine Mary Harmsworth, Patricia Harmsworth, Viscountess Rothermere, Carron Greig","[0, 12, 2, 0, 5]","[8, 22, 4, 5, 7]"
Everett Post,-0.030303030303030276,2773,0,33,,,,"[1, 4, 0, 3, 2]","[1, 13, 0, 5, 4]"
Express US,-0.35526315789473695,12503,0,76,,,,"[0, 15, 0, 0, 4]","[9, 31, 1, 3, 13]"
FDD's Long War Journal,1.576923076923077,316,1,26,,,,"[0, 0, 0, 1, 3]","[1, 2, 0, 0, 19]"
FOX 28 Spokane,-0.22399999999999998,7590,0,125,,,,"[1, 10, 9, 1, 9]","[9, 35, 39, 6, 6]"
Fiji Broadcasting Corporation,-0.34883720930232553,5097,0,43,,,Politics of Fiji,"[1, 3, 2, 0, 3]","[1, 21, 7, 3, 2]"
FijiTimes,-0.46153846153846145,16861,0,26,,,,"[1, 1, 0, 0, 1]","[2, 14, 2, 3, 2]"
Financial Post,0.25,158701,1,12,-101.076646,56.66572,"Leon Cooperman, Allianz","[0, 0, 0, 1, 0]","[0, 5, 1, 3, 2]"
Financial Times,0.15533980582524265,35628,0,103,-0.147215,51.485761,Nikkei Inc.,"[1, 6, 10, 2, 6]","[2, 24, 29, 8, 15]"
Firstpost News,0.15760869565217384,50889,1,368,72.883921,19.091592,Mukesh Ambani,"[0, 20, 0, 6, 20]","[17, 162, 17, 24, 102]"
Flin Flon Reminder,-0.5774647887323943,122648,-1,71,-101.882227,54.765733,,"[1, 15, 1, 2, 3]","[0, 36, 10, 2, 1]"
Floridian Press,1.6,1533,0,15,,,,"[0, 1, 0, 0, 3]","[0, 1, 0, 0, 10]"
Foreign Policy,-0.7647058823529411,5124,0,34,-95.197086,34.695116,The Slate Group,"[1, 6, 0, 0, 0]","[5, 17, 0, 1, 4]"
Fort Smith/Fayetteville News,-0.4285714285714286,9838,0,14,-94.417282,35.386659,Tegna Inc.,"[0, 5, 0, 0, 1]","[0, 6, 0, 1, 1]"
Fortune,-0.06666666666666665,50117,0,15,-73.968167,40.709268,Chatchaval Jiaravanon,"[0, 1, 0, 0, 2]","[2, 4, 4, 0, 2]"
Fox News,1.6680000000000001,432677,2,250,-74.002351,40.708805,"Murdoch family, Rupert Murdoch","[0, 3, 0, 1, 32]","[8, 9, 4, 6, 187]"
France24,-0.4178571428571429,72011,0,280,2.278753,46.399127,Government of France,"[3, 21, 7, 4, 10]","[14, 143, 40, 19, 19]"
Freedom Online,0.0588235294117645,3613,0,17,,,,"[0, 2, 1, 0, 2]","[0, 5, 5, 0, 2]"
Fresh Headline,0.0,314,0,13,,,,"[0, 0, 0, 1, 1]","[1, 7, 0, 0, 3]"
Frontpage Mag,2.0,1952,2,50,,,,"[0, 0, 0, 0, 4]","[0, 0, 0, 0, 46]"
GB News,0.8727272727272726,58580,2,55,-0.114758,51.504133,,"[0, 1, 2, 1, 7]","[4, 8, 5, 4, 23]"
GMA Filipino News,-0.5,96167,-1,74,121.046366,14.687393,GMA Network (company),"[1, 12, 0, 1, 4]","[5, 35, 8, 3, 5]"
GV Wire,-0.7894736842105263,4362,0,57,,,,"[2, 10, 0, 0, 0]","[2, 36, 2, 1, 4]"
GZERO Media,-0.3421052631578947,1758,-1,38,,,,"[2, 6, 0, 0, 1]","[4, 14, 1, 3, 7]"
Gatestone Institute,1.8333333333333335,826,2,24,,,,"[0, 0, 0, 0, 1]","[1, 0, 0, 0, 22]"
Geller Report,1.7857142857142856,5417,2,84,,,,"[1, 0, 0, 0, 9]","[2, 2, 0, 0, 70]"
Gephardt Daily,-0.33333333333333326,1404,0,12,,,,"[0, 6, 0, 1, 1]","[0, 2, 1, 1, 0]"
Global Defense Corp,0.15384615384615374,891,0,13,,,,"[0, 3, 0, 0, 2]","[0, 5, 0, 0, 3]"
Global Diaspora News,-1.0208333333333335,5061,0,48,,,,"[1, 1, 1, 0, 0]","[5, 37, 2, 1, 0]"
Global Happenings,0.4285714285714284,5015,0,84,,,,"[1, 2, 1, 0, 8]","[7, 28, 2, 4, 31]"
Global News,-0.5769230769230769,375095,-1,52,-79.371632,43.66396,Corus Entertainment,"[0, 13, 0, 0, 5]","[3, 26, 2, 1, 2]"
Global Upfront Newspapers,0.125,1752,0,16,,,,"[1, 0, 0, 0, 4]","[3, 4, 1, 0, 3]"
Globes,0.7142857142857144,5791,0,35,,,,"[0, 1, 0, 0, 3]","[0, 5, 12, 3, 11]"
Goa Chronicle,0.5555555555555554,1822,0,27,,,,"[0, 1, 2, 0, 4]","[0, 8, 4, 0, 8]"
Greater Kashmir,-0.41176470588235303,8615,0,34,,,,"[0, 8, 2, 0, 0]","[1, 15, 2, 1, 5]"
Greek Reporter,-0.125,6326,2,16,,,,"[0, 2, 1, 0, 1]","[0, 7, 2, 1, 2]"
Haaretz,-1.8967032967032966,140561,-2,910,34.7795,32.081769,"Salman Schocken, M. DuMont Schauberg, Leonid Nevzlin","[46, 2, 0, 1, 0]","[825, 12, 5, 9, 10]"
Hartford Courant,-0.5454545454545454,9802,0,11,-72.666252,41.762702,Alden Global Capital,"[0, 2, 1, 1, 0]","[1, 5, 0, 0, 1]"
Hawaii Tribune-Herald,-0.38297872340425543,22612,0,47,,,"Torstar, David Black","[0, 5, 0, 1, 4]","[3, 26, 2, 2, 4]"
Heritage Florida Jewish News,2.0,3428,0,11,,,,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 11]"
Hindustan Times,0.006688963210702337,401788,-1,299,77.226041,28.611511,HT Media,"[1, 24, 7, 0, 14]","[15, 125, 28, 15, 70]"
HonestReporting,2.0,773,1,22,,,,"[0, 0, 0, 0, 4]","[0, 0, 0, 0, 18]"
Hot Air,1.2777777777777777,38535,1,54,-77.097002,38.88103,Salem Media Group,"[1, 0, 0, 0, 5]","[7, 2, 0, 1, 38]"
Houston Today,-0.8181818181818181,13738,-1,11,,,,"[1, 5, 0, 0, 0]","[0, 4, 0, 0, 1]"
HuffPost,-0.9456521739130435,128771,-2,92,-94.313703,36.947621,"Roberts family, Verizon Communications","[2, 19, 1, 1, 2]","[7, 58, 0, 1, 1]"
IBTimes Australia,-0.27956989247311825,27979,0,93,130.091271,-22.560157,IBT Media,"[1, 9, 0, 1, 8]","[3, 52, 3, 6, 10]"
IFP News,-1.1449814126394053,13513,0,269,52.954059,33.19198,,"[18, 11, 1, 0, 2]","[120, 79, 9, 4, 25]"
IOL,-0.5373134328358209,156878,0,67,22.539925,-31.169548,Sekunjalo Investments,"[2, 7, 1, 0, 4]","[10, 27, 8, 2, 6]"
If Americans Knew Blog,-1.5849056603773586,468,0,53,,,,"[5, 0, 0, 0, 0]","[38, 6, 0, 0, 4]"
Independent Sentinel,1.7333333333333334,2673,2,15,,,,"[0, 0, 0, 0, 3]","[1, 0, 0, 0, 11]"
India Daily Mail,-0.46341463414634143,7406,0,41,,,,"[0, 6, 0, 1, 2]","[4, 20, 2, 2, 4]"
India Narrative,1.7999999999999998,4330,0,35,,,,"[0, 0, 0, 0, 10]","[0, 1, 0, 4, 20]"
India TV News,0.3380281690140845,51110,1,71,78.422362,21.512166,Rajat Sharma,"[0, 7, 2, 3, 8]","[3, 21, 6, 3, 18]"
